matrix,P,nnz,nrows,max_kernel_ms,max_comm_ms,total_ms,comm_pct,agg_gflops,nnz_min,nnz_avg,nnz_max,nnz_imbalance,speedup_total,efficiency_total,speedup_kernel,efficiency_kernel,gpu,gpu_p1,correct
boyd2,2,1500397,466316,0.148,2.126,2.2739,93.5,20.28,744704,750198.0,755693,1.46,0.1305,0.0653,2.0054,1.0027,NVIDIA L40S,NVIDIA L40S,PASSED
boyd2,4,1500397,466316,0.3299,8.8558,9.1857,96.4,9.0963,325215,375099.0,429464,27.79,0.0323,0.0081,0.8997,0.2249,NVIDIA A30,NVIDIA L40S,PASSED
eu-2005,1,19235140,862664,0.5761,0.0001,0.5762,0.0,66.7765,19235140,19235140.0,19235140,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
eu-2005,2,19235140,862664,0.2614,2.1958,2.4572,89.4,147.1426,9608613,9617570.0,9626527,0.19,0.2345,0.1172,2.2039,1.1019,NVIDIA L40S,NVIDIA L40S,PASSED
eu-2005,4,19235140,862664,0.6144,5.1024,5.7168,89.3,62.6144,4803691,4808785.0,4816671,0.27,0.1008,0.0252,0.9377,0.2344,NVIDIA A30,NVIDIA L40S,PASSED
hollywood-2009,1,113891327,1139905,17.4036,0.0002,17.4038,0.0,13.0883,113891327,113891327.0,113891327,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
hollywood-2009,2,113891327,1139905,8.4607,2.8588,11.3195,25.3,26.9225,56893802,56945664.0,56997525,0.18,1.5375,0.7688,2.057,1.0285,NVIDIA L40S,NVIDIA L40S,PASSED
hollywood-2009,4,113891327,1139905,12.1581,5.733,17.891,32.0,18.7351,28418936,28472832.0,28505311,0.3,0.9728,0.2432,1.4314,0.3579,NVIDIA A30,NVIDIA L40S,PASSED
ldoor,1,46522475,952203,1.5128,0.0001,1.5128,0.0,61.5061,46522475,46522475.0,46522475,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
ldoor,2,46522475,952203,0.7231,2.1342,2.8573,74.7,128.6672,23255832,23261238.0,23266643,0.05,0.5295,0.2647,2.0921,1.046,NVIDIA L40S,NVIDIA L40S,PASSED
ldoor,4,46522475,952203,1.6188,5.1639,6.7827,76.1,57.4792,11627004,11630619.0,11634025,0.06,0.223,0.0558,0.9345,0.2336,NVIDIA A30,NVIDIA L40S,PASSED
nlpkkt80,1,28704672,1062400,0.7601,0.0,0.7602,0.0,75.5274,28704672,28704672.0,28704672,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
nlpkkt80,2,28704672,1062400,0.3509,2.3177,2.6687,86.8,163.5888,14352336,14352336.0,14352336,0.0,0.2849,0.1424,2.1661,1.0831,NVIDIA L40S,NVIDIA L40S,PASSED
nlpkkt80,4,28704672,1062400,0.734,5.2987,6.0327,87.8,78.2162,7175216,7176168.0,7177120,0.03,0.126,0.0315,1.0356,0.2589,NVIDIA A30,NVIDIA L40S,PASSED
rajat31,1,20316253,4690002,0.4106,0.0,0.4107,0.0,98.9492,20316253,20316253.0,20316253,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
rajat31,2,20316253,4690002,0.2058,3.2975,3.5033,94.1,197.4175,10157502,10158126.0,10158751,0.01,0.1172,0.0586,1.9951,0.9976,NVIDIA L40S,NVIDIA L40S,PASSED
rajat31,4,20316253,4690002,0.1811,11.1946,11.3757,98.4,224.3339,5078127,5079063.0,5079377,0.02,0.0361,0.009,2.2673,0.5668,NVIDIA A30,NVIDIA L40S,PASSED
webbase-1M,1,3105536,1000005,0.1044,0.0,0.1044,0.0,59.5138,3105536,3105536.0,3105536,0.0,1.0,1.0,1.0,1.0,NVIDIA L40S,NVIDIA L40S,PASSED
webbase-1M,2,3105536,1000005,0.2126,3.1261,3.3387,93.6,29.2201,1540872,1552768.0,1564664,1.53,0.0313,0.0157,0.4911,0.2455,NVIDIA A30,NVIDIA L40S,PASSED
webbase-1M,4,3105536,1000005,0.1102,13.733,13.8432,99.2,56.3813,764903,776384.0,782683,2.29,0.0075,0.0019,0.9474,0.2369,NVIDIA A30,NVIDIA L40S,PASSED
